Created at	Labels	CreatedAtConverted
2020-04-17 17:06:10.0	[Bug, Pri: 3, Area: User Experience, fixed]	04/17/2020 17:06:10
2020-04-28 23:01:31.0	[Bug, Area: Reliability, fixed, Pri: 1]	04/28/2020 23:01:31
2020-05-09 07:45:41.0	[fixing approved issue]	05/09/2020 07:45:41
2020-05-22 21:39:37.0	[Bug, Area: Reliability, fixed, Pri: 2]	05/22/2020 21:39:37
2020-05-30 08:03:10.0	[Bug, fixed, Pri: 1]	05/30/2020 08:03:10
2020-06-16 09:02:14.0	[Bug, Area: Reliability, fixed, Pri: 2]	06/16/2020 09:02:14
2020-06-16 09:02:19.0	[Bug, Area: User Experience, fixed, Pri: 1]	06/16/2020 09:02:19
2020-06-16 09:02:23.0	[Bug, Area: Reliability, fixed, Pri: 2]	06/16/2020 09:02:23
2020-06-16 09:02:31.0	[Bug, Area: User Experience, fixed, Pri: 2]	06/16/2020 09:02:31
2020-07-12 15:40:20.0	[fixing approved issue]	07/12/2020 15:40:20
2020-08-06 16:58:14.0	[fixing approved issue]	08/06/2020 16:58:14
2020-08-06 21:51:12.0	[fixing approved issue]	08/06/2020 21:51:12
2020-08-08 02:01:27.0	[fixing approved issue]	08/08/2020 02:01:27
2020-08-10 13:32:44.0	[fixing approved issue]	08/10/2020 13:32:44
2020-08-11 13:16:02.0	[fixing approved issue]	08/11/2020 13:16:02
2020-08-11 15:05:38.0	[fixing approved issue]	08/11/2020 15:05:38
2020-11-12 02:46:27.0	[fixing approved issue]	11/12/2020 02:46:27
2020-11-18 17:47:04.0	[Bug, triage approved, Area: Test Case, fixed, Pri: 1]	11/18/2020 17:47:04
2020-11-29 04:27:21.0	[fixing approved issue]	11/29/2020 04:27:21
2020-12-06 08:06:35.0	[fixing approved issue]	12/06/2020 08:06:35
2021-01-07 05:55:30.0	[Bug, Area: Accessibility, fixed, Pri: 1]	01/07/2021 05:55:30
2021-02-20 14:18:22.0	[Bug, Area: User Experience, fixed, Pri: 1]	02/20/2021 14:18:22
2021-06-02 17:26:59.0	[fixing approved issue]	06/02/2021 17:26:59
2021-07-13 03:15:36.0	[fixing approved issue]	07/13/2021 03:15:36
